season,goalie,team,logo_url,saves
2023-2024,Juuse Saros,Nashville Predators,logos/predators.png,1672
2023-2024,Connor Hellebuyck,Winnipeg Jets,logos/jets.png,1656
2023-2024,Ilya Sorokin,NY Islanders,logos/islanders.png,1655
2023-2024,Jordan Binnington,St Louis Blues,logos/blues.png,1630
2023-2024,Alexandar Georgiev,Colorado Avalanche,logos/avalanche.png,1588
2023-2024,Petr Mrazek,Chicago Blackhawks,logos/blackhawks.png,1565
2023-2024,Igor Shesterkin,NY Rangers,logos/rangers.png,1466
2023-2024,Sergei Bobrovsky,Florida Panthers,logos/panthers.png,1449
2023-2024,Stuart Skinner,Edmonton Oilers,logos/oilers.png,1406
2023-2024,Thatcher Demko,Vancouver Canucks,logos/canucks.png,1369
2022-2023,Juuse Saros,Nashville Predators,logos/predators.png,1928
2022-2023,Connor Hellebuyck,Winnipeg Jets,logos/jets.png,1807
2022-2023,John Gibson,Anaheim Ducks,logos/ducks.png,1783
2022-2023,Alexandar Georgiev,Colorado Avalanche,logos/avalanche.png,1749
2022-2023,Andrei Vasilevskiy,Tampa Bay Lightning,logos/lightning.png,1716
2022-2023,Ilya Sorokin,NY Islanders,logos/islanders.png,1699
2022-2023,Jake Oettinger,Dallas Stars,logos/stars.png,1633
2022-2023,Jordan Binnington,St Louis Blues,logos/blues.png,1632
2022-2023,Igor Shesterkin,NY Rangers,logos/rangers.png,1575
2022-2023,Darcy Kuemper,Washington Capitals,logos/capitals.png,1521
